summer_cloudcover_data,summer_precipitation_data,summer_wetDayFrequency_data,summer_rainfall_data
43.845,59.787,3.0063750000000002,54.5
43.845,68.53899999999999,3.785125,83.77499999999999
43.845,58.344,3.802875,43.6
43.845,85.79075,3.624525,76.35
43.845,58.364250000000006,3.7943499999999997,60.150000000000006
43.845,36.18275,3.003125,37.1
43.845,78.80600000000001,4.11445,75.875
43.845,58.993,2.951975,58.625
43.845,91.79575,4.788900000000001,84.57499999999999
43.845,38.05825,3.3228750000000002,23.125
43.845,67.32325,4.202875,57.0
43.845,51.342999999999996,3.2615000000000007,43.325
43.845,45.3595,2.721675,28.75
43.845,50.72275,3.81555,56.625
43.845,90.91749999999999,3.936025,93.85
43.845,66.39725,3.036225,56.85
43.845,60.399,3.146025,58.325
43.845,70.31225,4.199975,70.125
43.845,82.0525,4.185525,76.725
43.845,47.8365,2.998125,43.825
43.845,67.1055,3.177125,65.7
43.845,56.99275,2.9366,49.800000000000004
43.845,64.9355,3.78385,72.925
43.845,61.1815,3.786825,49.125
43.845,85.68175,4.156125,69.15
43.845,62.6435,3.97295,53.85
43.845,53.92075,3.2685000000000004,34.75
43.845,49.6325,3.2645,34.7
43.845,78.062,3.505325,67.2
43.845,80.75175,4.41535,69.225
41.55825,49.0305,3.0908750000000005,37.224999999999994
48.667,55.518,3.4953250000000002,47.325
42.953500000000005,90.57275000000001,4.037825,66.375
44.18025,66.58375,3.9708000000000006,61.8
45.0475,65.861,3.2149,64.925
44.617,77.35325,4.20825,64.7
43.0135,103.46724999999999,3.559625,93.225
43.20175,41.105000000000004,3.216275,36.849999999999994
44.062,76.27925,3.361325,75.35
44.16550000000001,103.65350000000001,5.40675,89.225
47.884,64.55825,3.765675,67.275
43.693,60.18225,3.63145,45.5
45.078250000000004,90.12825,3.96105,85.7
42.945750000000004,68.102,3.75715,66.35
41.93025,48.101749999999996,3.325725,36.725
44.60575000000001,60.4995,4.189125,44.775000000000006
44.256,43.7875,3.001025,45.825
42.43175,94.74074999999999,3.169825,79.275
43.88025,47.430499999999995,3.63995,45.3
44.23625,37.296749999999996,2.982975,32.4
42.448,68.70275000000001,4.213125,59.574999999999996
41.05475,54.32000000000001,2.88035,47.775000000000006
41.897000000000006,84.5235,3.96745,67.025
42.885000000000005,74.3935,4.0313,61.725
47.94525,80.30975,4.6509,69.425
46.03975,50.26175,3.6614500000000003,38.825
45.405499999999996,93.51925,4.091324999999999,111.69999999999999
43.402249999999995,99.278,3.89995,105.42500000000001
43.423500000000004,67.89699999999999,3.747775,64.0
42.71975,55.6075,3.5363499999999997,50.5
47.20175,83.7995,4.081075,71.975
43.994249999999994,84.98825,4.0393,84.7
42.866,65.255,3.5416499999999997,76.55
42.71975,46.366,2.409375,43.25
42.276,36.231,3.494275,28.725
43.0975,72.717,3.320075,57.974999999999994
42.67875000000001,49.87875,4.021,42.0
43.155249999999995,68.12475,4.2618,65.1
42.841499999999996,75.67275000000001,2.9338999999999995,86.1
45.2295,81.11025000000001,4.144674999999999,75.025
45.29875,62.260749999999994,4.13495,66.075
43.39875,80.6395,4.304775,53.324999999999996
44.33025,39.1395,3.0725,32.75
43.06425,51.251999999999995,3.010725,51.9
45.37575,61.710750000000004,3.7233,43.75
40.73025,50.4965,3.048275,47.425
45.50725,98.4045,4.320250000000001,99.45
44.89575,55.32725,3.399775,45.65
42.8165,73.769,3.133725,75.775
44.85075,63.124,3.348975,52.89999999999999
44.16175,64.66275,3.7822750000000003,61.775
43.95875,55.80375000000001,3.0828749999999996,65.375
43.846250000000005,83.64575,3.294975,81.225
44.045500000000004,54.2255,3.403325,54.97500000000001
43.68475,49.247,3.34485,44.925
43.84075,56.283,3.04995,56.375
43.81575,64.45075,3.9063749999999997,62.825
43.914750000000005,79.947,4.337325,58.8
43.845,54.72825,3.35715,36.25
43.81675,70.947,4.420325,59.925
43.845,111.00099999999999,3.9338499999999996,111.775
43.845,69.59675,3.622625,69.175
43.845,78.81475,3.90315,77.375
43.845,39.726,3.2946999999999997,32.05
43.845,78.229,3.9945250000000003,73.4
44.69825,108.72775,4.1186,109.1
44.09775,63.8335,3.67525,61.925
44.58725,70.11774999999999,3.464825,66.52499999999999
46.6105,94.32625,3.86245,87.8
46.128,60.79075,3.450575,56.150000000000006
