rainy_cloudcover_data,rainy_precipitation_data,rainy_wetDayFrequency_data,rainy_rainfall_data
68.72725,117.40500000000002,6.328799999999999,145.5
68.72725,135.49925000000002,7.502,136.25
68.72725,173.278,8.41855,215.975
68.72725,106.195,6.12095,121.675
68.72725,107.97025,6.7006250000000005,153.875
68.72725,169.23225000000002,8.2531,197.825
68.72725,97.20825000000002,6.95725,108.45
68.72725,68.9245,6.8034,78.125
68.72725,135.44575,7.37565,159.9
68.72725,181.4395,8.3299,237.875
68.72725,101.26075,6.706200000000001,129.175
68.72725,147.10475,7.41375,220.125
68.72725,95.063,6.359475,105.325
68.72725,100.887,6.9638,116.80000000000001
68.72725,88.58925,6.0578,118.5
68.72725,178.64275,8.03065,215.52499999999998
68.72725,132.528,8.0382,150.425
68.72725,54.426249999999996,4.2705,76.9
68.72725,104.98425,7.131825,137.175
68.72725,82.07124999999999,6.40995,101.05000000000001
68.72725,108.64075,7.155225,134.5
68.72725,100.1345,6.289225,131.0
68.72725,77.16049999999998,6.407725,93.55
68.72725,96.02725000000001,7.151575000000001,113.97500000000001
68.72725,79.85199999999999,6.166100000000001,101.625
68.72725,101.49725,6.4099,136.525
68.72725,78.832,5.77545,103.14999999999999
68.72725,160.569,7.618775,196.675
68.72725,83.79275,6.50845,93.85
68.72725,137.58425,7.2597000000000005,157.32500000000002
65.306,86.42849999999999,5.566175,106.45
73.17475,137.76999999999998,7.811325,175.3
67.9275,164.09075,7.6747749999999995,178.375
66.21575,86.5,6.125,85.375
67.78800000000001,147.99824999999998,6.725300000000001,204.22500000000002
67.52175,100.542,6.92315,114.875
67.18725,78.98174999999999,6.505275,87.8
67.89425,120.54625,6.6184,162.075
67.33025,119.68725,7.33215,126.95
69.98175,87.7075,6.957475,98.625
69.88775,101.29625000000001,6.585325000000001,116.575
68.37275,86.00800000000001,6.65685,111.9
68.37174999999999,156.26600000000002,7.72905,203.725
65.38575,126.84774999999999,6.748475,155.39999999999998
66.65925,83.34825,6.013175,105.875
69.878,121.28949999999999,6.687875,161.875
69.49575,129.68375,7.227824999999999,173.7
66.62325,106.719,6.192075,157.64999999999998
69.0665,162.0025,7.3187500000000005,219.59999999999997
68.44550000000001,108.97875000000002,7.468000000000001,122.75000000000001
66.74225,115.69125,6.5905249999999995,152.525
66.31925000000001,114.47825,6.18365,132.97500000000002
66.48725,163.57925,7.84825,231.0
67.42425,125.41499999999999,7.4171,143.85000000000002
70.1255,124.74775,6.741649999999999,124.1
70.58500000000001,152.92925000000002,7.023225,224.175
71.01275,72.4915,6.399525,71.22500000000001
70.92275,130.03475,7.755800000000001,190.825
70.50825,130.50375,6.264875,149.8
68.57925,116.8635,6.660875,143.65
70.21475000000001,110.935,7.109475,135.025
70.906,133.352,7.568575,151.45
67.81425,136.97775000000001,6.712825,166.97500000000002
68.67599999999999,176.392,8.421525,205.125
66.01075,77.735,5.780275,118.87500000000001
67.4165,155.84175,7.736974999999999,177.675
68.36075,97.1305,5.493875,121.94999999999999
68.22325000000001,98.88125,5.70165,143.225
67.56899999999999,116.96125,7.3511500000000005,135.27499999999998
69.11625000000001,124.1925,6.6472,168.8
68.7345,130.2145,7.174075,158.25
67.43675,103.3995,7.213825,133.675
70.23775,145.72925,7.1787,193.525
69.31075,143.24225,7.198449999999999,182.52499999999998
71.9045,154.05525,7.5761,182.55
67.13625,69.923,6.562225000000001,101.57499999999999
69.617,135.0595,6.536250000000001,129.0
69.27075,102.45775,7.086525,128.0
69.11175,144.36425,6.839124999999999,191.72500000000002
67.091,105.46650000000001,6.5976,129.55
68.85325,131.21875,7.53665,142.125
68.83225,79.203,5.912,118.44999999999999
68.82325,105.0535,6.79805,143.05
68.72725,119.78675,7.2444,143.975
68.819,73.31275,6.34225,87.85
68.63499999999999,134.22949999999997,7.07815,195.50000000000003
68.72725,94.911,6.107275,114.65
68.88075,163.019,7.733725,230.10000000000002
68.76725,157.34875,7.3690999999999995,187.5
68.7575,92.08500000000001,6.117825,83.8
68.72725,131.45175,7.0067,180.65
68.72725,122.38400000000001,7.148525,128.25
68.72725,127.56899999999999,7.131500000000001,162.375
68.72725,99.87575,6.7281249999999995,106.82499999999999
68.72725,147.91925,7.7378,185.8
74.06225,152.80525,7.579174999999999,178.375
68.57525,155.87175,7.2696000000000005,198.2
73.06975,208.82274999999998,8.8146,273.875
68.66575,115.42474999999999,6.48255,141.425
69.15525,179.40775000000002,8.148675,221.90000000000003
